PWS Number,System Name,Population Served,System Type,Subpart H,Sample Type,Sample Date,Contam Group ,Code Description,Contam Code,Results ,Unit of Measure,MCL,System Status,Location Code,Remarks
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,FLUORIDE,1025,0,MG/L,4,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,FLUORIDE,1025,0,MG/L,4,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,FLUORIDE,1025,0,MG/L,4,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,SODIUM,1052,2,MG/L,160,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,SODIUM,1052,2,MG/L,160,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,SODIUM,1052,3,MG/L,160,ACTIVE,AAA,WELL 6
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,AAA,WELL 4
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,AAA,WELL 5
1030774,GULF POWER LANSING-SMITH PLANT,31,P,N,R,07/08/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,AAA,WELL 6
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,FLUORIDE,1025,6,MG/L,4,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,SODIUM,1052,50,MG/L,160,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,10/23/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1030788,AFRL AREA (TYNDALL AFB),110,P,N,N,12/09/2019,INOR,FLUORIDE,1025,0,MG/L,4,ACTIVE,AAA,RO IN BLDG 9705 BREAKROOM SINK
1030788,AFRL AREA (TYNDALL AFB),110,P,N,C,12/09/2019,INOR,FLUORIDE,1025,6,MG/L,4,ACTIVE,AAA,ENTRY PT
1034054,DEER HAVEN PARK,75,C,N,N,04/15/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1034054,DEER HAVEN PARK,75,C,N,N,04/15/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1034062,MR. MART #13,25,N,N,N,07/16/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1034062,MR. MART #13,25,N,N,N,07/16/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1034063,M & M MARKET #3,100,N,N,N,08/26/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1034063,M & M MARKET #3,100,N,N,N,08/26/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1034069,231 PLAZA,25,N,N,N,06/03/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1034069,231 PLAZA,25,N,N,N,06/03/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1034086,M & M MARKET #5 (HOBO PANTRY #14),100,N,N,N,08/20/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1034086,M & M MARKET #5 (HOBO PANTRY #14),100,N,N,N,08/20/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1034096,GARNER'S SUPERMARKET,100,N,N,N,10/10/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1034096,GARNER'S SUPERMARKET,100,N,N,N,10/10/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,CHROMIUM,1020,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,CYANIDE,1024,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,FLUORIDE,1025,0,MG/L,4,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,LEAD,1030,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,MERCURY,1035,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,NICKEL,1036,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,NITRATE,1040,0,MG/L,10,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,NITRITE,1041,0,MG/L,1,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,SELENIUM,1045,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,SODIUM,1052,2,MG/L,160,ACTIVE,AAA,ENTRY PT
1034106,STACEY'S SWINGERS DAY CARE,89,P,N,N,02/25/2019,INOR,THALLIUM,1085,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034109,FULL SCALE DRONE (TYNDALL AFB),30,P,N,N,04/23/2019,INOR,ANTIMONY,1074,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034109,FULL SCALE DRONE (TYNDALL AFB),30,P,N,N,04/23/2019,INOR,ARSENIC,1005,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034109,FULL SCALE DRONE (TYNDALL AFB),30,P,N,N,04/23/2019,INOR,BARIUM,1010,0,MG/L,2,ACTIVE,AAA,ENTRY PT
1034109,FULL SCALE DRONE (TYNDALL AFB),30,P,N,N,04/23/2019,INOR,BERYLLIUM,1075,0,MG/L,0,ACTIVE,AAA,ENTRY PT
1034109,FULL SCALE DRONE (TYNDALL AFB),30,P,N,N,04/23/2019,INOR,CADMIUM,1015,0,MG/L,0,ACTIVE,AAA,ENTRY PT
